Relative abundance	Group	tax
0.0759228935388	Carries	Veillonella
0.0613612811199	Health	Veillonella
0.0642627657728	Carries	Veillonella
0.0445891492042	Health	Veillonella
0.0853363287718	Health	Veillonella
0.050956920212	Health	Veillonella
0.0438901806401	Health	Veillonella
0.0527954852549	Health	Haemophilus
0.108865867306	Carries	Haemophilus
0.123125590123	Health	Haemophilus
0.0379498488649	Carries	Haemophilus
0.0792501730432	Carries	Haemophilus
0.0513779552389	Carries	Haemophilus
0.0352102127091	Health	Haemophilus
0.041461258384	Carries	Haemophilus
0.0411530733104	Carries	Haemophilus
0.0113355167439	Carries	Haemophilus
0.0849640808127	Health	Haemophilus
0.0371735083878	Carries	Haemophilus
0.0503457139391	Carries	Haemophilus
0.0565381265135	Health	Haemophilus
0.0254579022038	Carries	Haemophilus
0.0529318327134	Carries	Haemophilus
0.0816355963524	Carries	Haemophilus
0.06034325937	Health	Haemophilus
0.0256303321639	Health	Haemophilus
0.0602213190367	Carries	Haemophilus
0.0745804438203	Carries	Haemophilus
0.0582567912963	Health	Haemophilus
0.0460876991885	Health	Haemophilus
0.107097219906	Carries	Haemophilus
0.0390489769541	Carries	Haemophilus
0.0590090951864	Carries	Haemophilus
0.0483420632103	Carries	Haemophilus
0.0736242944067	Health	Haemophilus
0.102680018673	Carries	Haemophilus
0.0439420637618	Health	Haemophilus
0.039443349937	Carries	Haemophilus
0.0218941836812	Carries	Haemophilus
0.0262169010677	Health	Haemophilus
0.0315690082838	Health	Haemophilus
0.0394414445199	Carries	Haemophilus
0.0426891291573	Carries	Haemophilus
0.245063866765	Health	Haemophilus
0.0551646023705	Carries	Haemophilus
0.0814578700793	Health	Haemophilus
0.0499163295186	Carries	Haemophilus
0.0517557858183	Health	Haemophilus
0.0799753036547	Health	Haemophilus
0.0427121833	Health	Haemophilus
0.0276873379952	Health	Haemophilus
0.0528321049696	Health	Actinomyces
0.00982260306409	Carries	Actinomyces
0.0060426807961	Health	Actinomyces
0.0323126630199	Carries	Actinomyces
0.0644993894505	Carries	Actinomyces
0.019418835621	Carries	Actinomyces
0.0133794469979	Health	Actinomyces
0.019477288573	Carries	Actinomyces
0.0175903458405	Carries	Actinomyces
0.0632458730313	Carries	Actinomyces
0.0566262932314	Health	Actinomyces
0.029412870521	Carries	Actinomyces
0.0674433226053	Carries	Actinomyces
0.0450116116199	Health	Actinomyces
0.0239837204562	Carries	Actinomyces
0.018260157558	Carries	Actinomyces
0.00609963929827	Carries	Actinomyces
0.0214855318143	Health	Actinomyces
0.0225849677909	Health	Actinomyces
0.024150269178	Carries	Actinomyces
0.0378549005223	Carries	Actinomyces
0.0319184518519	Health	Actinomyces
0.0461179402473	Health	Actinomyces
0.0274878180644	Carries	Actinomyces
0.0940169665424	Carries	Actinomyces
0.0240843220378	Carries	Actinomyces
0.101856885083	Carries	Actinomyces
0.0117583751865	Health	Actinomyces
0.022828645621	Carries	Actinomyces
0.01470401141	Health	Actinomyces
0.035614946819	Carries	Actinomyces
0.0504541008024	Carries	Actinomyces
0.0648230497873	Health	Actinomyces
0.0481019435729	Health	Actinomyces
0.0517620317006	Carries	Actinomyces
0.0858774635746	Carries	Actinomyces
0.022077729074	Health	Actinomyces
0.0301251224993	Carries	Actinomyces
0.0473949178046	Health	Actinomyces
0.0333897066001	Carries	Actinomyces
0.0584406852477	Health	Actinomyces
0.00222640304171	Health	Actinomyces
